,accdate,Operator_ID,AccTypeCodeDescr,AccSubTypeCodeDescr,acctype,BAITFISH Code,AccPreventable,Retraining,vehbusno,vehmake,vehyear,Drv_Age,CoDrvSex,Roadway,RoadwayLightConditions,RoadwayWeather,RoadwaySurface,Addr_Type,Neighborhood,LocAddr1,FileNumber,Longitude,Latitude,SpeedLimitCategory,n_accidents_in_0.003,n_accidents_in_0.006,n_accidents_in_0.0015,n_accidents_in_0.00075,n_accidents_in_0.0005,accday,acctime,acctimeperiod,days_pick_start,days_absent,days_excused,days_holiday,days_late,days_medical,days_vacation,days_last_accident,days_employment,freq_absence_one_week,freq_extra_one_week,freq_absence_one_month,freq_extra_one_month,freq_absence_two_month,freq_extra_two_month,accyear,accmonth,accday_
0,2016-04-20 11:46:00,1,22,34,2,8,0,0,753,1,2007,66.0,2,5,2,0,0,0,25,103,512,-77.6168453,43.1550723,4,21,181,7,0,0,2016-04-20 00:00:00,11:46,1,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16,0.0,0.29,0.0,0.18,0.0,0.18,2016,4,20
1,2016-04-20 11:32:00,20,22,33,2,8,0,0,1321,7,2012,52.0,1,5,2,0,0,0,23,519,511,-77.614181,43.1571493,4,46,153,16,3,3,2016-04-20 00:00:00,11:32,1,16.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16,0.0,0.0,0.12,0.06,0.12,0.06,2016,4,20
2,2016-04-25 13:51:00,175,18,25,2,9,1,1,735,1,2005,44.0,2,5,2,0,0,0,2,817,513,-77.659301,43.20421169999999,2,42,55,12,11,4,2016-04-25 00:00:00,13:51,2,21.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21,0.29,0.0,0.09,0.0,0.09,0.0,2016,4,25
3,2016-04-26 11:10:00,290,3,4,2,14,1,1,728,1,2005,52.0,2,4,2,4,4,1,14,593,514,-77.6088762,43.15664,4,64,192,19,17,15,2016-04-26 00:00:00,11:10,1,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22,0.0,0.14,0.0,0.13,0.0,0.13,2016,4,26
4,2016-04-26 16:15:00,146,3,4,2,14,1,1,706,1,2004,64.0,2,3,2,1,0,0,25,187,515,-77.60903979999999,43.1140913,4,3,11,0,0,0,2016-04-26 00:00:00,16:15,2,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22,0.0,0.0,0.0,0.0,0.0,0.0,2016,4,26
5,2016-04-29 01:50:00,326,2,4,2,4,1,1,770,1,2007,23.0,2,3,0,0,0,0,23,130,516,-77.5748474,43.1611927,4,10,35,5,3,3,2016-04-29 00:00:00,01:50,4,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2016,4,29
6,2016-05-03 14:30:00,323,2,4,2,4,1,1,513,1,2009,40.0,2,5,2,0,0,0,39,140,518,-77.5748474,43.1611927,4,10,35,5,3,3,2016-05-03 00:00:00,14:30,2,29.0,8.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,29,0.0,0.0,0.07,0.0,0.07,0.0,2016,5,3
7,2016-05-03 14:17:00,112,18,26,2,8,0,0,1316,7,2012,39.0,2,4,2,0,0,1,25,599,517,-77.5716939,43.1495071,4,17,70,16,15,15,2016-05-03 00:00:00,14:17,2,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29,0.0,0.0,0.0,0.0,0.0,0.0,2016,5,3
8,2016-05-04 20:15:00,88,22,31,2,8,0,0,704,1,2004,56.0,2,5,1,0,0,0,25,351,521,-77.6384009,43.1648446,4,25,113,22,12,0,2016-05-04 00:00:00,20:15,3,30.0,5.0,6.0,-1.0,-1.0,-1.0,10.0,-1.0,30,0.29,0.0,0.4,0.0,0.39,0.0,2016,5,4
9,2016-05-05 07:15:00,60,20,18,2,8,0,0,1315,7,2012,61.0,1,5,2,1,0,0,37,333,519,-77.661408,43.150684,4,3,11,1,0,0,2016-05-05 00:00:00,07:15,1,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31,0.0,0.0,0.0,0.0,0.0,0.0,2016,5,5
