,pearson_corr,coef,pvalue
Neighborhood_Dutchtown_vs_Missing,-0.057111364797041445,-38.09553961869997,0.9999997764197796
Neighborhood_Address_vs_Missing,-0.05711136479704171,-28.85658806991095,0.9999822953716518
Neighborhood_Charles House Area Council_vs_Missing,-0.04034310328178465,-23.06227932020786,0.9997165742612772
Neighborhood_Corn Hill_vs_Missing,-0.04034310328178462,-22.710866887848315,0.9997208923801856
SpeedLimitCategory_SC2_vs_SC6,0.04997456487608546,22.675425166271218,0.9997213280121233
Neighborhood_United Neighbors Together_vs_Missing,-0.040343103281784885,-22.53247887827043,0.9997230844249995
Neighborhood_Northland-Lyceum_vs_Missing,-0.04034310328178489,-21.62694233542709,0.9997342118729484
Neighborhood_North Winton Village_vs_Missing,-0.05711136479704174,-21.577432033440587,0.999649760814886
Neighborhood_Oak Lawn_vs_Missing,-0.040343103281784295,-21.200635555089846,0.9997394506782233
Neighborhood_Pearl-Meigs-Monroe_vs_Missing,0.049974564876084766,21.0411969185094,0.9997414094876217
Neighborhood_Park Avenue_vs_Missing,-0.05711136479704149,-20.88967603869038,0.9993139635056567
SpeedLimitCategory_SC3_vs_SC6,-0.040343103281784386,-20.4647370072224,0.999748493636256
Neighborhood_Cobbs Hill_vs_Missing,-0.070017611749456,-20.11122542913387,0.9987768680200008
Neighborhood_NY_vs_Missing,-0.05711136479704162,-18.761595071891268,0.9977918428477935
Neighborhood_Lyell-Otis_vs_Missing,-0.07001761174945638,-18.474652347870997,0.9979014781580827
Neighborhood_East Avenue_vs_Missing,0.07074605999633508,18.115975236581598,0.9975553268457277
Neighborhood_Swillburg_vs_Missing,0.07074605999633558,17.647829453073797,0.9968982072518473
Neighborhood_East Irondequoit_vs_Missing,-0.09057588603386964,-13.261121388415262,0.9808538551199946
freq_extra_one_week,-0.002005283782287459,-2.918038788510366,0.4059697525768613
RoadwayLightConditions_Dusk_vs_Daylight,0.0859745877209578,2.732164675904492,0.0408931538913883
Roadway_Other_vs_Straight and Level,0.2069663459997062,2.4029947165332772,0.0007779763006364084
Roadway_Curve and Grade_vs_Straight and Level,0.0986820841802298,2.370803407442917,0.044161509156644414
RoadwaySurface_Slush_vs_Dry,-0.08001907763406017,-2.0810461423753783,0.013600311832445101
Neighborhood_Genesee-Jefferson_vs_Missing,-0.03563530399147126,-1.6125697985787726,0.18799396516615663
Neighborhood_Upper Falls_vs_Missing,-0.0356353039914717,-1.4388317079241773,0.23661679971453797
Neighborhood_Charlotte_vs_Missing,0.03448314812886135,1.3715388676574134,0.3182443486468346
Neighborhood_Strong_vs_Missing,-0.050601628733308215,-1.3584073698197938,0.14264526206073025
SpeedLimitCategory_SC7_vs_SC6,0.06960324837835076,1.3226955749945717,0.075554195090229
Neighborhood_Culver-Winton-Main_vs_Missing,0.06433684899985544,1.2322729148329685,0.1989723418920225
isWeekend_True_vs_False,0.06411591276363586,1.1820706364170095,0.05052233616918055
Neighborhood_Plymouth-Exchange_vs_Missing,-0.017767231810297594,-1.097527764923724,0.3966219896330354
RoadwaySurface_Ice_vs_Dry,-0.017767231810297497,-1.0582129897544577,0.5073563000482354
Roadway_Straight with Hillcrest_vs_Straight and Level,-0.042278562596648084,-1.0184767273713788,0.21446254740707493
SpeedLimitCategory_SC4_vs_SC6,-0.038698856541266424,-0.9896184550710968,0.31194129300543727
Neighborhood_Mayor's Heights_vs_Missing,0.034483148128861475,0.8796165326019162,0.4908682326720104
SpeedLimitCategory_SC8_vs_SC6,-0.043800848183149534,-0.7178923944353222,0.1806398157621506
Roadway_Curve and Level_vs_Straight and Level,0.04255527703357676,0.6727489424019221,0.22397783548138417
RoadwayLightConditions_Dark_vs_Daylight,0.026205692104552536,0.6485176951572208,0.17847309751297713
Neighborhood_Beechwood_vs_Missing,-0.03919873211011553,-0.6246868712296102,0.10038828217347845
Neighborhood_Brown Square_vs_Missing,0.02974095852579103,0.5844703904432488,0.45244240375870093
Neighborhood_Edgerton_vs_Missing,-0.03138418502255462,-0.5785266892627295,0.30927663408863026
Neighborhood_19th Ward_vs_Missing,0.029740958525791044,0.514801763688783,0.5073589527229694
Neighborhood_South Wedge_vs_Missing,-0.020460073122262022,-0.38367792650908134,0.5817608156814558
freq_absence_one_week,-0.06267841043025826,-0.3617164128783539,0.5562192365602794
Neighborhood_Group 14621_vs_Missing,-0.019226532174858337,-0.3571309041203389,0.5223369501939293
SpeedLimitCategory_SC5_vs_SC6,-0.0976265674667085,-0.31224337464308477,0.3997833769772955
Neighborhood_Neighborhood of the Arts_vs_Missing,0.031089560881896423,0.2456572397455921,0.8094141856557506
Neighborhood_Maplewood_vs_Missing,0.05270538940161376,0.24071965397345138,0.6697579025719411
Neighborhood_West Irondequoit_vs_Missing,0.009660721798198853,0.23481299373251713,0.8330522642419875
RoadwayLightConditions_Other_vs_Daylight,0.034483148128861135,0.21255736907222886,0.9086071433608215
Roadway_Curve with Hillcrest_vs_Straight and Level,-0.009465588090025978,-0.17841950319317365,0.8608301486262379
"RoadwayLightConditions_Dark, but Lighted_vs_Daylight",-0.00157003622623663,-0.14553636820855415,0.6836013239229191
Roadway_Straight and Grade_vs_Straight and Level,-0.03047229805488895,-0.04270338451305999,0.8865419348324012
n_accidents_in_0.0015,-0.10201990946647647,-0.03130983062830422,0.0020826994150475973
Neighborhood_South Marketview Heights_vs_Missing,-0.01844177006265046,-0.007715917692893988,0.9923449500296598
n_accidents_in_0.006,0.16211977951169534,0.006050420661779378,0.0009471389470272662
days_pick_start,-0.04990481715720184,-0.0054569964260547015,0.1751259215047899
days_absent,0.0021539033283767568,0.0031370250533937815,0.22449091223848194
days_vacation,-0.09429526118897455,-0.002693119976845682,0.11229860222307682
days_excused,-0.04742681044544521,-0.002686935281472906,0.23771562679337943
days_last_accident,-0.08864061055094495,-0.0017941253060285418,0.02332162283252785
days_late,-0.04926442301810364,-0.00038541071953171414,0.6367412440944076
meters_from_bus_stop,-0.03666091358357991,-0.00020907189429049568,0.5656254211969753
