,accident_date,operator_id,days_pick_start,days_absent,days_excused,days_holiday,days_late,days_medical,days_vacation,days_last_accident,days_employment,freq_absence_one_week,freq_extra_one_week,freq_absence_one_month,freq_extra_one_month,freq_absence_two_month,freq_extra_two_month,accident_type
0,2016-04-20,1,16,-1,-1,-1,-1,-1,-1,-1,16,0.0,0.29,0.0,0.18,0.0,0.18,0
1,2017-01-03,1,1,55,145,-1,-1,-1,9,258,274,0.0,0.14,0.7,0.03,0.62,0.07,1
2,2018-06-11,1,70,5,11,381,452,389,64,524,798,0.14,0.0,0.1,0.1,0.1,0.12,0
3,2018-09-21,1,18,107,37,483,554,491,2,102,900,0.14,0.0,0.03,0.03,0.1,0.02,0
4,2017-05-05,2,32,85,134,-1,337,-1,46,-1,396,0.0,0.0,0.0,0.03,0.12,0.02,0
5,2019-01-22,2,15,64,20,-1,964,-1,12,627,1023,0.0,0.14,0.3,0.07,0.18,0.03,1
6,2017-09-27,5,23,83,243,107,-1,374,31,-1,541,0.0,0.0,0.0,0.03,0.13,0.08,0
7,2016-10-04,7,28,68,20,-1,-1,4,9,-1,183,0.14,0.0,0.33,0.03,0.3,0.03,0
8,2016-09-16,9,81,-1,20,-1,-1,-1,54,-1,165,0.0,0.0,0.03,0.07,0.12,0.08,1
9,2016-12-07,10,92,26,2,192,-1,56,3,-1,247,0.71,0.0,0.37,0.13,0.23,0.08,0
10,2016-10-03,12,27,4,56,-1,119,-1,8,-1,182,0.29,0.0,0.73,0.0,0.48,0.05,1
11,2017-05-20,12,47,33,59,-1,348,90,237,229,411,0.0,0.0,0.0,0.0,0.05,0.02,0
12,2017-08-22,12,57,30,153,-1,442,184,2,94,505,0.71,0.0,0.93,0.0,0.6,0.0,0
13,2018-03-14,12,72,25,38,123,646,388,206,204,709,0.0,0.0,0.03,0.0,0.13,0.0,0
14,2018-03-19,12,77,30,43,128,651,393,211,5,714,0.0,0.0,0.0,0.0,0.1,0.0,1
15,2018-01-30,13,29,46,8,220,253,606,23,-1,666,0.0,0.0,0.3,0.0,0.2,0.02,0
16,2018-04-20,13,18,9,3,52,333,686,103,80,746,0.14,0.0,0.13,0.0,0.12,0.02,1
17,2016-07-22,16,25,-1,27,-1,-1,-1,33,-1,109,0.0,0.0,0.03,0.0,0.13,0.0,0
18,2016-11-10,17,65,21,10,96,-1,-1,11,-1,220,0.0,0.0,0.3,0.0,0.18,0.0,0
19,2017-07-31,18,35,150,7,316,-1,15,8,-1,483,0.0,0.0,0.77,0.0,0.85,0.0,1
20,2016-06-27,19,84,34,21,14,-1,-1,-1,-1,84,0.0,0.14,0.07,0.13,0.07,0.13,0
21,2017-05-18,19,45,48,14,339,-1,-1,60,325,409,0.0,0.0,0.03,0.0,0.03,0.0,0
22,2016-04-20,20,16,14,-1,-1,-1,-1,-1,-1,16,0.0,0.0,0.12,0.06,0.12,0.06,0
