,accident_date,operator_id,days_pick_start,days_absent,days_excused,days_holiday,days_late,days_medical,days_vacation,days_last_accident,days_employment,freq_absence_one_week,freq_extra_one_week,freq_absence_one_month,freq_extra_one_month,freq_absence_two_month,freq_extra_two_month
0,2016-04-20,1.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16,0.0,0.29,0.0,0.18,0.0,0.18
1,2017-01-03,1.0,1.0,55.0,145.0,-1.0,-1.0,-1.0,9.0,258.0,274,0.0,0.14,0.7,0.03,0.62,0.07
2,2018-06-11,1.0,70.0,5.0,11.0,381.0,452.0,389.0,64.0,524.0,798,0.14,0.0,0.1,0.1,0.1,0.12
3,2018-09-21,1.0,18.0,107.0,37.0,483.0,554.0,491.0,2.0,102.0,900,0.14,0.0,0.03,0.03,0.1,0.02
4,2017-05-05,2.0,32.0,85.0,134.0,-1.0,337.0,-1.0,46.0,-1.0,396,0.0,0.0,0.0,0.03,0.12,0.02
5,2019-01-22,2.0,15.0,64.0,20.0,-1.0,964.0,-1.0,12.0,627.0,1023,0.0,0.14,0.3,0.07,0.18,0.03
6,2017-09-27,5.0,23.0,83.0,243.0,107.0,-1.0,374.0,31.0,-1.0,541,0.0,0.0,0.0,0.03,0.13,0.08
7,2016-10-04,7.0,28.0,68.0,20.0,-1.0,-1.0,4.0,9.0,-1.0,183,0.14,0.0,0.33,0.03,0.3,0.03
8,2016-09-16,9.0,81.0,-1.0,20.0,-1.0,-1.0,-1.0,54.0,-1.0,165,0.0,0.0,0.03,0.07,0.12,0.08
9,2016-12-07,10.0,92.0,26.0,2.0,192.0,-1.0,56.0,3.0,-1.0,247,0.71,0.0,0.37,0.13,0.23,0.08
10,2016-10-03,12.0,27.0,4.0,56.0,-1.0,119.0,-1.0,8.0,-1.0,182,0.29,0.0,0.73,0.0,0.48,0.05
11,2017-05-20,12.0,47.0,33.0,59.0,-1.0,348.0,90.0,237.0,229.0,411,0.0,0.0,0.0,0.0,0.05,0.02
12,2017-08-22,12.0,57.0,30.0,153.0,-1.0,442.0,184.0,2.0,94.0,505,0.71,0.0,0.93,0.0,0.6,0.0
13,2018-03-14,12.0,72.0,25.0,38.0,123.0,646.0,388.0,206.0,204.0,709,0.0,0.0,0.03,0.0,0.13,0.0
14,2018-03-19,12.0,77.0,30.0,43.0,128.0,651.0,393.0,211.0,5.0,714,0.0,0.0,0.0,0.0,0.1,0.0
15,2018-01-30,13.0,29.0,46.0,8.0,220.0,253.0,606.0,23.0,-1.0,666,0.0,0.0,0.3,0.0,0.2,0.02
16,2018-04-20,13.0,18.0,9.0,3.0,52.0,333.0,686.0,103.0,80.0,746,0.14,0.0,0.13,0.0,0.12,0.02
17,2016-07-22,16.0,25.0,-1.0,27.0,-1.0,-1.0,-1.0,33.0,-1.0,109,0.0,0.0,0.03,0.0,0.13,0.0
18,2016-11-10,17.0,65.0,21.0,10.0,96.0,-1.0,-1.0,11.0,-1.0,220,0.0,0.0,0.3,0.0,0.18,0.0
19,2017-07-31,18.0,35.0,150.0,7.0,316.0,-1.0,15.0,8.0,-1.0,483,0.0,0.0,0.77,0.0,0.85,0.0
20,2016-06-27,19.0,84.0,34.0,21.0,14.0,-1.0,-1.0,-1.0,-1.0,84,0.0,0.14,0.07,0.13,0.07,0.13
21,2017-05-18,19.0,45.0,48.0,14.0,339.0,-1.0,-1.0,60.0,325.0,409,0.0,0.0,0.03,0.0,0.03,0.0
22,2016-04-20,20.0,16.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16,0.0,0.0,0.12,0.06,0.12,0.06
23,2016-08-30,21.0,64.0,29.0,-1.0,-1.0,-1.0,-1.0,95.0,-1.0,148,0.0,0.0,0.03,0.07,0.03,0.08
24,2019-07-23,22.0,22.0,2.0,48.0,494.0,-1.0,-1.0,65.0,-1.0,1205,0.29,0.0,0.07,0.0,0.05,0.0
25,2016-04-10,23.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6,0.0,0.14,0.0,0.14,0.0,0.14
26,2016-10-08,23.0,32.0,20.0,10.0,-1.0,-1.0,-1.0,41.0,181.0,187,0.0,0.14,0.2,0.03,0.43,0.03
27,2017-03-23,23.0,80.0,13.0,34.0,161.0,89.0,-1.0,10.0,166.0,353,0.0,0.0,0.1,0.03,0.15,0.02
28,2016-05-23,24.0,49.0,14.0,35.0,-1.0,-1.0,-1.0,1.0,-1.0,49,0.86,0.0,0.3,0.0,0.24,0.02
29,2016-08-23,24.0,57.0,106.0,127.0,-1.0,-1.0,-1.0,2.0,92.0,141,0.71,0.0,0.23,0.0,0.38,0.0
30,2016-11-17,24.0,72.0,14.0,9.0,-1.0,-1.0,-1.0,25.0,86.0,227,0.0,0.0,0.27,0.0,0.18,0.03
31,2018-04-16,24.0,14.0,13.0,32.0,120.0,-1.0,27.0,78.0,515.0,742,0.0,0.0,0.1,0.0,0.12,0.0
32,2017-11-05,26.0,62.0,2.0,155.0,54.0,-1.0,-1.0,238.0,-1.0,580,0.29,0.0,0.07,0.0,0.05,0.0
33,2018-03-20,26.0,78.0,137.0,12.0,189.0,-1.0,-1.0,16.0,135.0,715,0.0,0.0,0.57,0.0,0.52,0.02
34,2018-11-27,26.0,85.0,178.0,84.0,76.0,-1.0,-1.0,149.0,252.0,967,0.0,0.0,0.0,0.0,0.0,0.0
35,2016-08-05,27.0,39.0,25.0,115.0,-1.0,-1.0,-1.0,41.0,-1.0,123,0.0,0.0,0.03,0.0,0.15,0.0
36,2016-08-17,27.0,51.0,2.0,127.0,-1.0,-1.0,-1.0,53.0,12.0,135,0.14,0.0,0.03,0.0,0.15,0.0
37,2018-12-06,27.0,94.0,31.0,1.0,24.0,16.0,787.0,10.0,841.0,976,0.29,0.0,0.23,0.0,0.17,0.0
38,2019-05-17,27.0,46.0,30.0,56.0,28.0,178.0,949.0,19.0,162.0,1138,0.0,0.0,0.27,0.0,0.17,0.0
39,2017-09-26,29.0,22.0,77.0,96.0,282.0,-1.0,432.0,44.0,-1.0,540,0.0,0.0,0.0,0.03,0.12,0.07
40,2019-02-07,29.0,31.0,7.0,71.0,781.0,483.0,931.0,36.0,499.0,1039,0.0,0.0,0.03,0.0,0.18,0.02
41,2017-02-08,30.0,37.0,103.0,1.0,52.0,184.0,-1.0,12.0,-1.0,310,0.29,0.0,0.1,0.0,0.2,0.02
42,2017-07-12,30.0,16.0,19.0,20.0,206.0,120.0,127.0,9.0,154.0,464,0.0,0.0,0.13,0.0,0.28,0.0
43,2017-08-02,31.0,37.0,9.0,201.0,72.0,-1.0,157.0,10.0,-1.0,485,0.0,0.0,0.5,0.0,0.25,0.0
44,2016-06-21,32.0,78.0,6.0,14.0,30.0,-1.0,-1.0,16.0,-1.0,78,0.14,0.0,0.57,0.0,0.4,0.0
